Player,PTS,MP,FG%,3P%,FT%
Team Totals,115.4,240.8,0.468,0.364,0.778
Coby White,18.6,29.1,0.438,0.346,0.805
Josh Giddey,17.6,31.3,0.457,0.373,0.763
Nikola Vučević,16.9,30.8,0.505,0.376,0.838
Collin Sexton,16.2,25.1,0.496,0.388,0.811
Matas Buzelis,15.4,28.5,0.469,0.366,0.78
Anfernee Simons,15.2,28.3,0.438,0.32,1.0
Ayo Dosunmu,15.0,26.4,0.514,0.451,0.857
Tre Jones,12.3,26.6,0.538,0.321,0.829
Jaden Ivey,11.5,28.8,0.417,0.381,0.889
Kevin Huerter,10.9,23.6,0.455,0.314,0.732
Guerschon Yabusele,10.8,26.0,0.404,0.403,0.69
Jalen Smith,10.1,20.3,0.485,0.38,0.707
Zach Collins,9.7,18.4,0.578,0.429,0.7
Nick Richards,9.5,22.4,0.527,0.222,0.642
Isaac Okoro,9.0,26.9,0.449,0.326,0.796
Patrick Williams,7.0,19.5,0.389,0.38,0.7
Rob Dillingham,6.5,18.9,0.369,0.192,0.786
